country,pings,devices,pop_k
Oman,910175.1481,68349.25926,4933.394
Pakistan,24850046.78,775177.8148,245673.401
Palau,2131.407407,24.48148148,17.748
Panama,928076.4815,40621.11111,4430.03
Papua New Guinea,54035.40741,1903.740741,10296.209
Paraguay,1380209.296,50192.11111,6801.526
Peru,10569185.96,358641.963,33656.344
Philippines,39698602.81,2401201.741,114411.351
Poland,7219659.741,47599.37037,38813.949
Portugal,3035002.852,12945,10430.825
Qatar,4362851.296,173264.963,2945.712
Republic of Korea,139075033.3,3522490.259,51759.392
Romania,4528677.519,33423.2963,19169.119
Russian Federation,64136851.52,701527.4444,145675.42
Rwanda,91856.37037,10273.62963,13802.596
Saint Helena,3.583333333,1.083333333,5.318
Saint Kitts and Nevis,5974.851852,496.7037037,46.713
Saint Lucia,18947.11111,1322.222222,179.046
Saint Vincent and the Grenadines,6647.925926,508.2222222,101.679
Samoa,746.7777778,8.851851852,215.984
San Marino,1109.296296,21.18518519,33.858
Saudi Arabia,56921010.19,4009406.815,32867.343
Senegal,301676.3704,23380.85185,17867.073
Serbia,1635768.222,32528.62963,6788.068
Seychelles,7530.740741,657.2962963,126.694
Sierra Leone,44320.33333,5148.333333,8368.119
Singapore,17888924.93,975869.5556,5765.718
Slovakia,907308.1852,6367.481481,5516.536
Slovenia,486077.0741,3735.407407,2117.568
Solomon Islands,197.5555556,16.96296296,790.472
Somalia,76072.2963,4361.925926,18031.404
South Africa,48436106.19,1043110.667,62796.883
South Sudan,9252.444444,872.8888889,11146.895
Spain,51417168.15,2150222.185,47907.344
Sri Lanka,1913878.556,181697.3333,22904.797
Sudan,144981.9259,15172,50037.008
Suriname,122197,4270.444444,626.028
Sweden,12523322.96,235072.0741,10521.91
Switzerland,18250821.07,498124.1111,8843.053
Syrian Arab Republic,1500196.333,20324.96296,23014.618
Tajikistan,210563.2593,4315.962963,10287.891
Thailand,119730841.4,1812190.741,71715.662
Togo,86313.48148,8904.62963,9196.283
Tokelau,3,1,2.342
Tonga,358.0740741,4.333333333,104.816
Trinidad and Tobago,1331874.852,24227.48148,1500.11
Tunisia,1039198.556,75934.96296,12160.602
Türkiye,28373828.52,709477.6667,87169.328
Turkmenistan,97664,2611.148148,7298.173
Turks and Caicos Islands,12073.25926,397.6296296,46.026
Tuvalu,6.375,1.3125,9.904
Uganda,165230.5926,17093.2963,47981.11
Ukraine,4456424.481,145828.6296,38024.411
United Arab Emirates,16748584.63,629491.5185,10445.031
United Kingdom,201532706.7,7257587.259,68442.882
United Republic of Tanzania,130181.7407,3060.333333,65657.004
United States of America,2663385593,129243555.3,342475.098
Uruguay,1812315.37,44936.81481,3388.682
Uzbekistan,2386982.222,104651.8519,35294.16
Vanuatu,72.85185185,8.148148148,316.732
Venezuela (Bolivarian Republic of),3118837.407,101142.2593,28250.783
Viet Nam,80333529.78,2087260.37,100029.091
Yemen,421442,44000.14815,38794.337
Zambia,181261.8519,16922.44444,20430.382
Zimbabwe,211934.4074,11351.77778,16203.259
